1410949395861	       0.291500	       5.455800	       7.841600
1410949395911	       0.262200	       5.389300	       7.729700
1410949395962	       0.262200	       5.389300	       7.729700
1410949396012	       0.214300	       5.350400	       7.651300
1410949396062	       0.251400	       5.373800	       7.477100
1410949396112	       0.064600	       5.399500	       7.443600
1410949396162	       0.139500	       5.290000	       7.865600
1410949396212	       0.317800	       5.501300	       7.293300
1410949396262	       0.317800	       5.501300	       7.293300
1410949396312	       0.220300	       5.406100	       7.499800
1410949396362	       0.067000	       5.354600	       7.786500
1410949396412	       0.197500	       5.464200	       7.668000
1410949396463	       0.216700	       5.399500	       7.585400
1410949396514	       0.293900	       5.430000	       7.708700
1410949396564	       0.293900	       5.430000	       7.708700
1410949396615	       0.360300	       5.470800	       7.369400
1410949396665	       0.307700	       5.375000	       7.805700
1410949396717	       0.033500	       5.355800	       7.541100
1410949396768	       0.272900	       5.372000	       7.657900
1410949396819	       0.199900	       5.350400	       7.609400
1410949396869	       0.261600	       5.454600	       7.460300
1410949396920	       0.261600	       5.454600	       7.460300
1410949396970	       0.124500	       5.343900	       7.826600
1410949397020	       0.104700	       5.437200	       7.592000
1410949397070	       0.107700	       5.307900	       7.923000
1410949397120	       0.252600	       5.290600	       7.763800
1410949397170	       0.150800	       5.293600	       7.424400
1410949397220	       0.150800	       5.293600	       7.424400
1410949397271	       0.187900	       5.361800	       7.621300
1410949397322	       0.046100	       5.294800	       7.805100
1410949397372	       0.284300	       5.367200	       7.599800
1410949397423	       0.119700	       5.328300	       7.674600
1410949397473	       0.110100	       5.411500	       7.505200
1410949397524	       0.110100	       5.411500	       7.505200
1410949397574	      -0.095800	       5.288200	       7.835000
1410949397625	      -0.017400	       5.322900	       7.627300
1410949397676	       0.215500	       5.430000	       7.740500
1410949397726	       0.245400	       5.473700	       7.660800
1410949397779	       0.245400	       5.473700	       7.660800
1410949397831	      -0.112500	       5.266000	       7.528600
1410949397881	      -0.112500	       5.266000	       7.528600
1410949397932	       0.091000	       5.225300	       7.848800
